what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1548421546352
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1548421547878
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1548421618108
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1548421618168
started,bundle,org.eclipse.wb.os,1.1.0.r37x201109091012,"org.eclipse.wb.os",1548421621146
started,bundle,org.eclipse.wb.os.win32,1.1.0.r37x201109091012,"org.eclipse.wb.os.win32",1548421621176
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1548421672351
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1548421709974
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1548421712420
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1548422291947
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1548422294432
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1548422294522
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1548423584034
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1548423584062
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1548423584207
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1548427895930
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1548427897007
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1548427897116
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1548427897990
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1548427899659
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.100.20110804-1717,"org.eclipse.m2e.logback.configuration",1548427904791
stopped,bundle,org.eclipse.m2e.discovery,1.0.100.20110804-1717,"org.eclipse.m2e.discovery",1548427904807
stopped,bundle,org.eclipse.m2e.refactoring,1.0.100.20110804-1717,"org.eclipse.m2e.refactoring",1548427904978
stopped,bundle,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor",1548427905072
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.100.20110804-1717,"org.eclipse.m2e.editor.xml",1548427905150
stopped,bundle,org.eclipse.m2e.jdt,1.0.100.20110804-1717,"org.eclipse.m2e.jdt",1548427905150
stopped,bundle,org.eclipse.m2e.launching,1.0.100.20110804-1717,"org.eclipse.m2e.launching",1548427905212
stopped,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1548427905212
stopped,bundle,com.android.ide.eclipse.ndk,21.1.0.v201302060044-569685,"com.android.ide.eclipse.ndk",1548427905400
stopped,bundle,overlay.com.android.ide.eclipse.adt.overlay,21.1.0.v201302060044-569685,"overlay.com.android.ide.eclipse.adt.overlay",1548427905587
stopped,bundle,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.adt",1548427905587
stopped,bundle,org.eclipse.cdt,8.0.2.201202111925,"org.eclipse.cdt",1548427905618
stopped,bundle,org.eclipse.cdt.doc.user,5.1.1.201202111925,"org.eclipse.cdt.doc.user",1548427905665
stopped,bundle,org.eclipse.ui.cheatsheets,3.4.100.v20110425,"org.eclipse.ui.cheatsheets",1548427905696
stopped,bundle,org.eclipse.help.ui,3.5.101.r37_20110819,"org.eclipse.help.ui",1548427905821
stopped,bundle,org.eclipse.help.webapp,3.6.0.v20110518,"org.eclipse.help.webapp",1548427905852
stopped,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1548427905852
stopped,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1548427905852
stopped,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1548427906008
stopped,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1548427906024
stopped,bundle,org.eclipse.help.base,3.6.1.v201109091335,"org.eclipse.help.base",1548427906102
